대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
data-science,Data Analysis,아빠가 들려주는 [데이터 수집과 정리의 기본],초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
데이터를 효과적으로 수집하는 방법
데이터 분석하기 좋도록 데이터를 정리하는 방법
잘못된 데이터를 예방하고 찾고 수정하는 방법",Korean,https://www.udemy.com/course/data_basic/
data-science,Data Analysis,"[마이크임팩트 GFC] 데이터로 이룬 투명성, 우리의 삶을 어떻게 바꾸는가",초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
꿈을 찾고 이루고 싶은 오늘의 청춘들
미래와 기술을 알고 싶은 오늘의 사업가들
미래의 자산가를 꿈꾸는 오늘의 투자자들
더 나은 내일을 살고싶은 오늘의 직장인들",Korean,https://www.udemy.com/course/gfc-rndh/
data-science,Python,"【한글자막】 머신러닝의 모든 것 with Python, R",초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
Python과 R로 Machine Learning 핵심 모델 완벽 마스터
다양한 모델의 디테일한 동작 원리와 개념들(Regression, SVM, Random Forest, Logistic Regression, k-NN, Naive Bayes, Clustering, 인공신경망, CNN, PCA 등)
차원 축소(PCA)의 핵심 개념
Machine Learning 모델의 성능 향상을 위한 과정(XGBoost, k-Fold Cross Validation, Grid Search)
문제에 따라 적용할 적절한 Machine Learning 모델을 선택하는 방법
강화학습과 Deep Learning의 핵심 모델 일부(UCB, 톰슨 샘플링, 인공신경망, CNN 등)
Machine Learning 모델을 통해 비즈니스를 성장시키는 법",Korean,https://www.udemy.com/course/machine-learning-atoz/
data-science,Statistics,【한글자막】 비즈니스 분석 및 Data Science 를 위한 핵심 통계학 A-Z™,초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
정규 분포에 대한 이해
표준 편차에 대한 이해
연속변수와 불연속변수의 차이
표본 분포에 대한 이해
중심 극한 정리에 대한 이해
실무에서 중심 극한 정리 적용
가설검정에 평균 적용
가설검정에 비율 적용
Z 점수와 Z 테이블 사용
T 점수와 T 테이블 사용
정규 분포와 T 분포의 차이
통계적 유의성에 대한 이해와 적용
신뢰구간 생성
p값 남용의 잠재적 함정",Korean,https://www.udemy.com/course/best-business-analysis/
data-science,Data Analysis,메타분석 입문을 위한 RevMan 배우기,초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
메타분석의 기본 개념
메타분석을 위한 검색식 잡기
논문 발표를 위한 메타분석의 최소한의 결과들
깔끔하게 정리된 메타분석의 그래프들",Korean,https://www.udemy.com/course/ez_revman/
data-science,Deep Learning,"【한글자막】 딥러닝의 모든 것 with Python, Tensorflow, Pytorch",초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
딥러닝 핵심 모델에 대한 깊은 이해와 실제 데이터 적용 실습
ANN(인공 신경망) 모델의 이해와 적용
CNN(합성곱 신경망) 모델의 이해와 적용
RNN(순환 신경망) 모델의 이해와 적용
SOM(자기조직화지도)의 이해와 적용
볼츠만 머신의 이해와 적용
AutoEncoder의 이해와 적용",Korean,https://www.udemy.com/course/best-artificial-neural-networks/
data-science,Data Visualization,너무 쉬운 엑셀 피벗 테이블,초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
피벗 테이블의 재미를 배웁니다.
최소 시간으로 가장 효율적으로 데이터를 정리합니다.
데이터를 만나면 일단 반가운 마음이 생깁니다.
엑셀의 함수보다 더 쉬운 피벗 테이블의 기능을 능숙하게 사용하게 됩니다.
피벗 테이블에서 발생하기 쉬운 에러들을 사전에 예방하는 방법을 배웁니다.",Korean,https://www.udemy.com/course/pivot_table/
data-science,Computer Vision,【한글자막】 Computer Vision (컴퓨터 비전) : 마스터 클래스,초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
얼굴 감지를 위한 캐스케이드 및 HOG 분류기의 기본적 직관 이해하기
OpenCV 및 Dlib 라이브러리를 사용하여 얼굴 감지 구현하기
자동차, 시계, 눈 및 사람의 전신과 같은 객체를 OpenCV를 사용하여 감지하는 방법 배우기
3 개의 얼굴 감지기 결과 비교하기: 하르 캐스케이드, HOG(그래디언트 방향 히스토그램), CNN(합성곱 신경망)
이미지와 웹캠을 사용한 얼굴 감지하기
얼굴 인식을 위한 LBPH 알고리즘의 기본적 직관 이해하기
OpenCV 및 Dlib 라이브러리를 사용하여 얼굴 인식 구현하기
이미지와 웹캠을 사용한 얼굴 인식하기
객체 트래킹을 위한 KCF 및 CSRT 알고리즘에 대한 기본적 직관 이해하기
OpenCV 라이브러리를 사용하여 영상에서 객체를 트래킹하는 방법 배우기
Show more",Korean,https://www.udemy.com/course/best-computer-vision/
data-science,ChatGPT,모두를 위한 ChatGPT를 이용한 업무자동화 Part 1,초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
ChatGPT를 이용한 업무자동화 방법
Python 기초와 ChatGPT를 이용해서 Python 코드를 작성하는 법
ChatGPT의 동작 원리
다양한 업무자동화 방법(엑셀, PPT, 크롤링, 이미지처리)",Korean,https://www.udemy.com/course/chatgpt-business-automation-part-1/
data-science,Data Analysis,ADsP 2주 합격 올인원 패스,초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
상황에 따른 분석 방법론과 전반적인 데이터분석 프로세스 학습
데이터분석 실무에 필수적인 통계적 지식과 R 지식 습득
필수 이론 및 요점 정리를 통해 자격 검정 시험 완벽 준비
과목별 최신 기출문제 풀이로 시험 준비 완성",Korean,https://www.udemy.com/course/maso-ds-r-onc2005/
data-science,Python,따라하며 익히는 파이썬 데이터수집 마스터,초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
꼭 필요한 파이썬 문법을, 누구보다 쉽게 배웁니다.
데이터 수집, 크롤링의 정수! 핵심 꿀팁까지 알게 됩니다.
selenium을 이용한 브라우저 조작, 입력, 클릭을 할 수 있습니다.
HTML에서 원하는 것을 찾을 수 있습니다(Feat BeautifulSoup)
데이터 수집 결과를 엑셀 파일로 저장할 수 있습니다.",Korean,https://www.udemy.com/course/python_crawling/
data-science,Natural Language Processing,【한글자막】 NLP : Python 으로 배우는 자연어 처리,초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
Python으로 텍스트 파일 작업하는 방법
Python으로 PDF 파일 작업하는 방법
텍스트에서 패턴 검색을 위한 정규 표현식 활용
초고속 토큰화를 위한 spaCy 사용
어간 추출 및 표제어 추출
단어 집합과 검색
품사 태깅을 사용한 원시(raw) 텍스트 파일 자동 처리
개체명 인식 이해
spaCy로 POS(품사 태깅) 및 NER(개체명 인식) 시각화
SciKit-Learn(사이킷런)을 통한 텍스트 분류
토픽 모델링을 위한 잠재 디리클레 할당
비음수 행렬 분해
Word2Vec 알고리즘 사용
감성 분석을 위한 NLTK 사용
Show more",Korean,https://www.udemy.com/course/global-top-100-nlp-python-246/
data-science,Artificial Intelligence,【한글자막】 AI 만들기 : 강화학습과 인공신경망 완전 정복,초급자,"₩179,000","₩39,000",총 13시간,"What you'll learn
인공지능의 배경이 되는 핵심 이론 완벽 이해
최신 강화학습 모델을 통한 인공지능 구현 (Q-Learning, Deep Q-Learning, Deep Convolutional Q-Learning, A3C)
최신 딥러닝 핵심 모델을 통한 인공지능 구현 (인공신경망, ANN, CNN)
AI 모델을 실제 문제 해결에 적용하는 과정 실습 (가상의 자율주행 알고리즘 만들기, 게임 필승 AI 모델 만들기)",Korean,https://www.udemy.com/course/best-ai-17-hours/
