대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
programming-languages,Python,김왼손의 유기농냠냠파이썬: 세시간만에 끝내는 파이썬 (Python) 기초,초급자,무료,,온디맨드 동영상 2시간 58분,"파이썬의 기초를 쉽게 배울 수 있습니다.
파이썬이 뭔지, 프로그래밍이 뭔지 감을 잡게 됩니다.
혼자서도 프로그래밍을 공부할 수 있는 법을 배웁니다.
다음 단계를 위한 준비를 할 수 있습니다.
컴퓨터처럼 문제를 해결하는 방법을 배웁니다.
나도 할 수 있다는 자신감을 얻게 됩니다.",한국어,https://www.udemy.com/course/unp_python/
programming-languages,C (programming language),C언어 기초 프로그래밍 강좌 (C Programming Tutorial),초급자,무료,,온디맨드 동영상 4시간 21분,C언어의 기본 이론과 기초 프로그래밍,한국어,https://www.udemy.com/course/c-programming-basic/
programming-languages,C (programming language),C 프로그래밍 - 입문부터 게임 개발까지,초급자,무료,,온디맨드 동영상 6시간 36분,"C 프로그래밍 기초 마스터 + 9가지 실전 게임을 제작합니다. 언어를 배우는 것은 생각보다 지루할 수 있어서 매 섹션마다 강의에서 배운 내용을 토대로 직접 게임을 만듭니다. 프로젝트라는 무거운 주제를 정말 쉽게 다루어서 누구나 강의 수강 후에는 자신만의 게임을 만들 수 있게 됩니다. 지금까지 없던 아주 쉬운 코딩 강의, 바로 만나보세요 ^^",한국어,https://www.udemy.com/course/nadocoding-c/
programming-languages,JavaScript,[생활코딩] WEB - 자바스크립트(JavaScript) 기초 #1,초급자,무료,,온디맨드 동영상 1시간 26분,"Javascript 수업의 목적
HTML 태그와 Javascript
CSS 선택자
자바스크립트",한국어,https://www.udemy.com/course/web-javascript-1/
programming-languages,Java,[생활코딩] 자바(JAVA) 입문 #1,초급자,무료,,온디맨드 동영상 1시간 56분,"Java 입문 A to Z
Java 설치하는 방법
Java 실행
Java 기술의 응용
데이터와 연산
숫자와 연산
변수",한국어,https://www.udemy.com/course/java-1-d/
programming-languages,JavaScript,[생활코딩] WEB - 자바스크립트(JavaScript) 기초 #2,초급자,무료,,온디맨드 동영상 1시간 19분,"프로그램, 프로그래밍, 프로그래머 구분
조건문과 반복문
배열과 반복문
리팩토링(refactoring)",한국어,https://www.udemy.com/course/web-javascript-2/
programming-languages,Software Practices,클린 코드,모든 수준,무료,,온디맨드 동영상 1시간 33분,"Java, Python, C++ 언어로 작성 된 코드를 선정하여 분석
Java, Python, C++ 언어로 작성 된 코드의 리팩토링 방향성 소개
클린 코드 관점에서 코드 작성하는 법
실제 프로그래밍 과정에서 궁금했던 문제 해결",한국어,https://www.udemy.com/course/yeipvrxp/
programming-languages,Python,[생활코딩] 파이썬(Python) 입문,초급자,무료,,온디맨드 동영상 1시간 35분,"파이썬 설치 방법
파이썬 실행 방법
데이터 타입
변수/디버깅/입력,출력
PyPi",한국어,https://www.udemy.com/course/python-md/
programming-languages,Java,[생활코딩] 자바(JAVA) - Method,초급자,무료,,온디맨드 동영상 46분,"메소드의 기본 형식
메소드의 입력 값
메소드의 출력
메소드의 활용",한국어,https://www.udemy.com/course/java-method/
programming-languages,JavaScript,[생활코딩] WEB - 자바스크립트(JavaScript) 기초 #3,초급자,무료,,온디맨드 동영상 1시간 38분,"함수와 활용
객체와 활용
라이브러리와 프레임워크
파일로 쪼개서 정리 정돈하기",한국어,https://www.udemy.com/course/web-javascript-3/
programming-languages,Python,파이썬 학습 로드맵 라이브 세션 1부,모든 수준,무료,,온디맨드 동영상 1시간,"전체 개발자 생명 주기별로 고민해 보는 파이썬
파이썬 학습 과정에서 꼭 거쳐야할 로드맵
클린 코드 관점에서 보는 파이썬
실제 파이썬 프로그래밍 과정에서 궁금했던 문제 해결",한국어,https://www.udemy.com/course/1-xcwewd/
programming-languages,Python,[생활코딩] WEB - Python 기초 #1,초급자,무료,,온디맨드 동영상 1시간 59분,"Python을 배워야 하는 이유
실습 셋팅 - Linux & Codeanywhere
실습 셋팅 - Windows
실습 셋팅 - MacOS",한국어,https://www.udemy.com/course/web-python-1/
programming-languages,Java,[생활코딩] 자바(JAVA) 객체 지향 프로그래밍,모든 수준,무료,,온디맨드 동영상 1시간 24분,"변수와 메소드
클래스의 형식
인스턴스/static/생성자와 this
클래스와 인스턴스의 활용",한국어,https://www.udemy.com/course/java-vev/
programming-languages,Python,파이썬 학습 로드맵 라이브 세션 2부,모든 수준,무료,,온디맨드 동영상 1시간 8분,"전체 개발자 생명 주기별로 고민해 보는 파이썬
파이썬 학습 과정에서 꼭 거쳐야할 로드맵
클린 코드 관점에서 보는 파이썬
실제 파이썬 프로그래밍 과정에서 궁금했던 문제 해결",한국어,https://www.udemy.com/course/2-updyvb/
programming-languages,Python,[생활코딩] WEB - Python 기초 #2,초급자,무료,,온디맨드 동영상 2시간,"파이썬 기본 문법
데이터 타입과 활용
제어문과 조건문
조건에 반응하는 앱 만들기",한국어,https://www.udemy.com/course/web-python-2/
programming-languages,Java,Java Multithreading,모든 수준,무료,,온디맨드 동영상 2시간 58분,"Understand Java multi-threading
Be able to write effective muli-threaded code",영어,https://www.udemy.com/course/java-multithreading/
