대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
software-engineering,Linux Command Line,【한글자막】 Linux Command Line 부트캠프: 리눅스 초보자부터 고수까지,모든 수준,,,15.5시간 주문형 동영상,"배울 내용
수십 가지 커맨드와 커맨드 라인을 마스터하세요!
제한된 그래픽 사용자 인터페이스에 의존하지 마세요
나만의 커맨드, 처음부터 작성해보세요
Cron을 사용하여 작업을 자동화하고 작업을 예약하세요
커맨드 라인에서 컴퓨터를 완전히 제어해보세요
파일 퍼미션의 단점을 마스터하세요
효율성을 향상시키는 강력한 키보드 단축키를 배워보세요
강력한 커맨드 파이프라인을 구축해보세요",한국어,https://www.udemy.com/course/linux-command-line-colt/
software-engineering,Java,개체지향 프로그래밍 및 설계 (Java),중급자,"₩219,000",,30.5시간 주문형 동영상,"배울 내용
객체지향 프로그래밍
올바른 객체지향 설계
디자인 패턴",한국어,https://www.udemy.com/course/object-oriented-programming-and-design-by-pocu/
software-engineering,Software Architecture,【한글자막】 소프트웨어 아키텍처 및 대규모 시스템 설계,모든 수준,"₩17,000","₩88,000",7시간 주문형 동영상,"배울 내용
매일 수백만 개의 요청을 처리할 수 있는 대규모 시스템의 소프트웨어 아키텍처
높은 확장성과 가용성을 지니고 성능 기준에 부합하는 소프트웨어 시스템을 설계하는 법
시스템의 기술적 요구 조건 및 높은 수준의 컴포넌트와 API를 정의하는 법
시스템 설계 면접을 앞둔 경우 자신감을 얻는 법",한국어,https://www.udemy.com/course/software-architecture-design-large-scale-systems/
software-engineering,Multithreading,"【한글자막】 Java 멀티스레딩, 병행성 및 성능 최적화 - 전문가 되기",모든 수준,"₩17,000","₩88,000",4시간 주문형 동영상,"배울 내용
Java에서 잘 설계된 올바른 멀티스레드 애플리케이션을 자신 있게 구축하는 방법
현대 소프트웨어 아키텍처 및 스레드를 이용한 난이도가 낮은 수준의 프로그래밍에 대한 전문가 수준의 실무 지식
클라이언트에게 사랑 받는, 성능과 반응성이 좋은 애플리케이션을 만드는 방법
병행성 및 병렬 실행 프로그래밍을 이용해 컴퓨터와 Java 언어를 활용하는 방법",한국어,https://www.udemy.com/course/java-multi-threading/
software-engineering,Recommendation Engine,【한글자막】 머신 러닝 & AI 로 추천 시스템 구축하기,중급자,"₩17,000","₩88,000",11.5시간 주문형 동영상,"배울 내용
사용자 기반 및 아이템 기반 협업 필터링을 이해하고 적용하여 사용자에게 아이템 추천하기
대규모 딥 러닝을 사용하여 권장 사항 생성하기
신경망 및 RBM(Restricted Boltzmann Machines)으로 추천 시스템 구축하기
순환 신경망 및 GRU(Gated Recurrent Units)를 사용하여 세션 기반 권장 사항 만들기
Python으로 추천 알고리즘을 테스트하고 평가하기 위한 프레임워크 구축하기
추천 시스템의 성공에 대한 올바른 측정 적용하기
SVD 및 SVD++와 같은 행렬 분해 방법으로 추천 시스템 구축하기
Netflix 및 YouTube의 실제 학습 내용 나만의 추천 프로젝트에 적용하기
하이브리드 및 앙상블 접근 방식에서 많은 추천 알고리즘 결합하기
Apache Spark를 사용하여 클러스터에서 대규모로 권장 사항 계산하기
더 보기",한국어,https://www.udemy.com/course/best-recommender-system/
software-engineering,ChatGPT,【한글자막】 OpenAI API 마스터하기: GPT-4의 무한한 창의성 끌어내기,모든 수준,"₩17,000","₩23,000",13시간 주문형 동영상,"배울 내용
OpenAI의 GPT-4 및 텍스트 완성 기능 익히기
모델 성능을 미세하게 조정하기 위한 GPT 매개변수 이해
GPT-4를 사용하여 모든 언어의 코드 작성, 분석, 디버깅
일관성과 명확성을 위해 GPT 출력 구조화 및 개선
특정 사용 사례와 독특한 요건을 해결하기 위해 GPT-4 사용자 지정
DALL-E 2를 이용한 이미지 생성 및 편집
텍스트를 검색, 분류하고 이해하는 데 텍스트 임베딩 활용
임베딩 기반 추천 알고리즘 구축
Whisper를 사용해 오디오 파일 번역 및 전사",한국어,https://www.udemy.com/course/mastering-openai-korean/
software-engineering,Distributed Computing,【한글자막】 Java 를 활용한 분산 시스템 및 클라우드 컴퓨팅,모든 수준,"₩17,000","₩88,000",7.5시간 주문형 동영상,"배울 내용
병렬화 수준이 높은 Java 응용 프로그램과 분산 알고리즘을 규모에 맞춰 설계하고 구축합니다.
짧은 대기 시간, 내결함성, 높은 가동률, 성능을 갖춘 효율적인 클라우드 기반 소프트웨어 시스템을 구축합니다.
클라우드 컴퓨팅의 시대에 맞춰 설계된 소프트웨어 아키텍처를 마스터합니다.
전 세계적으로 분산 프로그램을 클라우드에 배포하여 수백만 명의 사용자와 수십억 개의 요청, 펜타바이트급 데이터에 서비스를 제공합니다.",한국어,https://www.udemy.com/course/java-distributed-system/
software-engineering,Cloud Computing,【한글자막】 Cloud Computing 소프트웨어 아키텍처 패턴 완성하기,모든 수준,"₩17,000","₩88,000",4.5시간 주문형 동영상,"배울 내용
최신 대규모 소프트웨어 시스템 설계하기
소프트웨어 아키텍처 패턴을 사용한 까다로운 시스템 설계 문제 해결하기
전 세계 수백만 명의 사용자에게 서비스를 제공할 수 있게 해 주는 클라우드 컴퓨팅 배우기
실제 프로덕션 시스템의 디자인, 설계, 배포 및 테스트하기",한국어,https://www.udemy.com/course/cloud-computing-software-architecture-patterns-korean/
software-engineering,Data Structures,Mastering Data Structures & Algorithms using C and C++,모든 수준,"₩30,000","₩149,000",58.5시간 주문형 동영상,"배울 내용
Learn various Popular Data Structures and their Algorithms.
Develop your Analytical skills on Data Structure and use then efficiently.
Learn Recursive Algorithms on Data Structures
Learn about various Sorting Algorithms
Implementation of Data Structures using C and C++",영어,https://www.udemy.com/course/datastructurescncpp/
software-engineering,Coding Interview,Master the Coding Interview: Data Structures + Algorithms,모든 수준,"₩19,000","₩99,000",19.5시간 주문형 동영상,"배울 내용
Ace coding interviews given by some of the top tech companies
Become more confident and prepared for your next coding interview
Learn, implement, and use different Data Structures
Learn, implement and use different Algorithms
Get more interviews
Professionally handle offers and negotiate raises
Become a better developer by mastering computer science fundamentals",영어,https://www.udemy.com/course/master-the-coding-interview-data-structures-algorithms/
