대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
no-code-development,Artificial Intelligence,【한글자막】 No Code! 코딩없이 인공지능 구현하기,초급자,"₩17,000","₩79,000",9.5시간 주문형 동영상,"배울 내용
Google Teachable Machine을 사용하여 사람의 감정을 감지하는 AI 모델 구축, 교육 및 배포
학습률, 에포크, 뱃치 크기, 정확도 및 손실의 차이를 설명
AWS AI AutoPilot을 사용하여 연령, 흡연 습관 및 지리적 위치와 같은 고객 특성을 이용하여 보험료 예측
DataRobot AI를 사용하여 심혈관 질환을 감지하는 고급 AI 구축, 훈련 및 배포
DataRobot AI를 사용하여 AI의 힘을 활용하여 식품 유형 인식
Google Teachable Machines를 사용하여 X-Ray 흉부 데이터를 사용하여 흉부 질환을 감지하고 분류하는 AI 모델 개발
혼동 행렬, 분류 정확도, 오류율 등 다양한 KPI를 사용하여 훈련된 AI 모델 평가
전이 학습의 다양한 장점을 나열하고 훈련 프로세스의 속도를 높이기 위해 언제 테크닉을 적절하게 적용할 지 결정
더 보기",한국어,https://www.udemy.com/course/no-code-ai/
no-code-development,Artificial Intelligence,【한글자막】 10일 완성 코스 - 코딩 없는 인공 지능 부트캠프,모든 수준,"₩17,000","₩79,000",12.5시간 주문형 동영상,"배울 내용
코드 작성 없이 10일 안에 10개의 AL/ML 모델을 구현, 학습, 테스트 및 배포할 수 있습니다.
구글 티처블 머신을 이용하여 패션 아이템을 분류하는 AI 모델을 구현, 학습, 테스트 및 배포할 수 있습니다.
학습률, 에포크, 배치 사이즈, 정확도, 손실 간의 차이를 설명할 수 있습니다.
데이터로봇 AI를 이용하여 당뇨망막병증을 감지하는 첨단 AI를 구현, 학습 및 배포할 수 있습니다.
데이터로봇 AI를 이용하여 AI로 회귀 태스크를 해결하고 중고차 가격을 예측할 수 있습니다.
오차 행렬, 분류 정확도, 오류율 등 다양한 KPI(핵심성과지표)를 이용하여 학습된 AI 모델을 평가할 수 있습니다.
여러 산업에서 널리 활용되는 최첨단 심층 CNN, 잔차 신경망(ResNet)의 이론과 직관을 이해할 수 있습니다.
위양성률과 진양성률에 대한 분류기 임계값의 영향을 이해할 수 있습니다.
더 보기",한국어,https://www.udemy.com/course/best-10-ai/
no-code-development,Machine Learning,【한글자막】 No 코드 머신 러닝 : Modern ML 도구에 대한 실용적인 가이드,모든 수준,"₩17,000","₩69,000",6.5시간 주문형 동영상,"배울 내용
수학에 주눅들지 않고, 코드 한 줄 쓰지 않고 머신 러닝 주요 개념 완성!
마이크로소프트 Azure로 소득 및 대출 기간과 같은 고객 특성을 사용하여 대출 채무불이행을 예측할 수 있는 머신 러닝 모델을 구축, 학습 및 배포
구글 Vertex AI로 큰 틀에서 머신 러닝 모델을 만들고 학습시키는 과정을 자동화하는 방법 완성
특성 중요도를 탐색하여 학습된 머신 러닝 모델 이해
DataRobot AI를 사용하여 여러 실험을 만들고 하이퍼 파라미터 최적화를 수행하는 방법
DataRobot AI를 사용하여 여러 최첨단 머신 러닝 모델을 학습시키고 최상의 모델을 배포하는 방법",한국어,https://www.udemy.com/course/best-nocode-modern-ml/
no-code-development,Bubble Visual Programming,노코드 버블로 나만의 강의사이트 제작하기 bubble io tutorial in Korean,초급자,"₩17,000","₩23,000",7시간 주문형 동영상,"배울 내용
데이터 베이스를 학습합니다
페이지 생성과 구성에 대해 학습합니다
강의사이트 제작에 필요한 노코드 툴에 대한 기초지식을 학습합니다
강의사이트 제작을 직접 제작하고 관리합니다",한국어,https://www.udemy.com/course/bubble-io-tutorial-in-korean/
no-code-development,WordPress,WordPress 2023: The Complete WordPress Website Course,모든 수준,"₩17,000","₩88,000",27시간 주문형 동영상,"배울 내용
Be able to start your own WordPress web design business
Project 1: Personal/resume Website with WordPress
Project 2: Business Corporate Websites with WordPress
Project 3: Professional Blog with WordPress
Project 4: eCommerce website with WordPress and PayPal for accepting payments
Project 5: A real estate website with WordPress custom post types
Be able to work with WordPress APIs to accept credit Card payments
Be able to build your own Template
Be able to create any custom post type website i.e. movie review site, property selling site, affiliate coupons site, etc.
Be able to design a template for your custom post type",영어,https://www.udemy.com/course/complete-wp-course/
no-code-development,Microsoft Power Platform,"Build Solutions with Power Apps, Power Automate & SharePoint",모든 수준,"₩17,000","₩69,000",22시간 주문형 동영상,"배울 내용
Create enterprise grade applications and solutions using the Power Platform
Learn and master Power Apps, Power Automate, and SharePoint
Learn how to transfer data and interact between Power Apps, Power Automate, and SharePoint
Connect Power Platform to third party applications and services using connectors, HTTP requests, and APIs
Create user interface integrations, such as chatbots or phone applications
Become a Power Platform champion
Learn how to use the solution formula to create any solution and application
Create a complete end-to-end Uber-like application
Take Dynamics 365 to the next level
Get the PL-900 certification",영어,https://www.udemy.com/course/build-solutions-with-power-platform/
no-code-development,Elementor,Learn Elementor - WordPress Front-End Development Course,모든 수준,"₩25,000","₩88,000",7시간 주문형 동영상,"배울 내용
Why learning Elementor is a great option if you want a page builder and/or theme creator.
The differences between the free & Pro versions of Elementor.
Where to get inspiration for your website design, colour & fonts.
What the box model is, and why it's so important as you design your site.
How to use Elementor as a page builder.
How to create a use (and re-use) templates.
How to use Elementor Pro to create your own theme.
How to use motion effects in your design.
How to ensure your site looks great on desktop, tablet and mobile phone.
How to use custom fields and custom post types for better website design and easier maintenance.",영어,https://www.udemy.com/course/wordpress-front-end-development-elementor/
no-code-development,Artificial Intelligence,Modern Artificial Intelligence with Zero Coding,초급자,"₩17,000","₩69,000",9.5시간 주문형 동영상,"배울 내용
Build, train and deploy AI models to detect people emotions using Google Teachable Machine
Explain the difference between learning rate, epochs, batch size, accuracy and loss.
Predict Insurance Premium using Customer Features such as age, smoking habit and geo-location using AWS AI AutoPilot
Build, train and deploy advanced AI to detect cardiovascular disease using DataRobot AI
Leverage the power of AI to recognize food types using DataRobot AI
Develop an AI model to detect and classify chest disease using X-Ray chest data using Google Teachable Machines
Evaluate trained AI models using various KPIs such as confusion matrix, classification accuracy, and error rate
List the various advantages of transfer learning and know when to properly apply the technique to speed up training process
더 보기",영어,https://www.udemy.com/course/modern-artificial-intelligence-with-zero-coding/
no-code-development,Elementor,Elementor Mastery - Build Amazing Websites With Elementor,모든 수준,"₩17,000","₩59,000",,"배울 내용
Build fantastic looking web pages without using any code
Master the art of using the Elementor page builder plugin",영어,https://www.udemy.com/course/elementor-101-build-amazing-wordpress-pages-with-no-coding/
no-code-development,Bubble Visual Programming,The Complete Guide to Bubble Visual Programming,모든 수준,"₩17,000","₩59,000",16시간 주문형 동영상,"배울 내용
Bubble Visual Programming ecosystem to create websites and web applications using a No-Code platform
Build functional and professional grade web applications, websites, and apps
All elements of Bubble, including responsive design, databases, workflows, users, and much more
Build a fully functional project and task management web application with a complete walkthrough
Build a thin version of AirBnB, complete with Google Maps integration and user-to-user messaging
Responsive web design that adapts to the user's screen and looks beautiful
Database management system that easily stores, organizes, and shows all your data
Workflow management system that allows complex interaction between the front-end and back-end, similar to what many other web applications like Twitter and Yelp do
How to go from having an idea to building a fully functional MVP, with many examples in between
Interacting with the Bubble community to continue learning and building your skillset",영어,https://www.udemy.com/course/the-complete-guide-to-bubble-from-beginner-to-advanced/
no-code-development,Airtable,Airtable - The Complete Guide to Airtable - Master Airtable,모든 수준,"₩17,000","₩59,000",7.5시간 주문형 동영상,"배울 내용
Become an expert at using Airtable to manage your project's data, views, and workflows
Create an Airtable database, with rich field logic inputs, table linkages, and custom layouts
Define and create views based on several different types, like grids, calendar, Kanban, timeline, and many more
Build sophisticated analysis using custom filters, sorts, and groups
Add customizable forms that allow users to add and update records
Create robust visualizations (charts, graphs, analytics) that sit on top of your data
Perform analysis and build insights on your data with Airtable's extensible app library
Build and automate workflows using your data, including sending emails, updating records, making tweets, and creating alerts
더 보기",영어,https://www.udemy.com/course/airtable-the-complete-guide-to-airtable/
no-code-development,Web Development,The Bubble Beginners Bootcamp Course,초급자,"₩17,000","₩59,000",11.5시간 주문형 동영상,"배울 내용
Building a dashboard style application
Mastering the Bubble editor
Setting up the database
Running workflows
Responsive design
UX design
and much more...",영어,https://www.udemy.com/course/the-bubble-beginners-bootcamp-course/
no-code-development,Bubble Visual Programming,Complete Bubble Developer Course: Build Apps Without Coding,모든 수준,"₩17,000","₩59,000",10시간 주문형 동영상,"배울 내용
Build fully functional web and mobile apps without coding completely on your own.
Create beautiful user interfaces with an amazing user experience.
Deploy your app to the world and launch your startup.
Design elegant workflows, databases, APIs and a whole lot more.",영어,https://www.udemy.com/course/build-fully-functional-apps-without-coding-using-bubble/
no-code-development,Salesforce Development,Salesforce Flows: Get Started with Lightning Flow Builder,모든 수준,"₩19,000","₩25,000",5시간 주문형 동영상,"배울 내용
Salesforce Lightning Flow builder
Salesforce flow builder resources
Salesforce Flow builder elements
Salesforce Visual workflow
Invoking flows from Salesforce Objects
Working with salesforce screen flows
Invoking salesforce flows from process builder
Invoking Salesforce flows from custom button
Creating salesforce autolaunched flows
Scheduling salesforce Flows
Using loops, decisions, assignments, get, create, and update elements in salesforce flow builder",영어,https://www.udemy.com/course/salesforce-lightning-flow-builder/
no-code-development,Machine Learning,No-Code Machine Learning: Practical Guide to Modern ML Tools,모든 수준,"₩20,000","₩26,000",6.5시간 주문형 동영상,"배울 내용
Master Machine Learning fundamentals without any intimidating mathematics and without writing a single line of code!
Build, Train and Deploy machine learning models that could predict loan default using customer features such as income and loan term using Microsoft Azure.
Master Google Vertex AI to automate the process of building and training machine learning models at scale.
Understand trained machine learning models by exploring feature importance.
Learn how to create multiple experiments using DataRobot AI and perform hyperparameter optimization.
Learn how to train multiple cutting-edge machine learning models using DataRobot AI and deploy the best model.",영어,https://www.udemy.com/course/no-code-machine-learning/
no-code-development,Wix,Master Wix - Create a Wix Website in 1 hour,초급자,"₩19,000","₩25,000",1시간 주문형 동영상,"배울 내용
Create Responsive Wix Websites
Master Wix Website Builder
Learn Wix Website Customization
Start Wix Freelancing Career",영어,https://www.udemy.com/course/master-wix-create-a-wix-website-in-1-hour/
no-code-development,WordPress for Ecommerce,How to Make an eCommerce Website with WordPress For Beginner,초급자,"₩19,000","₩25,000",4시간 주문형 동영상,"배울 내용
What is wordpress
What is domain & hosting
From Where You can Purchase domain and hosting
How to install wordpress in you hosting
How to login and logout from wordpress website
How to change the title and tagline of the wordpress website
How to change the password, admin panel theme and permalink of your website
How to install themes and plugins
How to import premade Astra Demo (starter templates plugin)
How to Configure Woocommerce Settings
How to create a Simple Products
How to add product categoreis and tags.
더 보기",영어,https://www.udemy.com/course/how-to-make-an-ecommerce-website-with-wordpress-elementor-for-beginner/
no-code-development,Wix,Complete Guide to Velo by Wix: Go From Zero to Hero!,초급자,"₩17,000","₩59,000",14시간 주문형 동영상,"배울 내용
Learn Velo Code for Wix while building a fully functional 'jobs listing' website!
Allow job seekers to browse for jobs using conditional filters and keyword searches
Allow job seekers to submit their CV and cover letter to apply for jobs
Allow recruiters to sign-up, login, logout, create, update and manage their profiles
Allow recruiters to post job adverts to the jobs board and later edit their jobs if need be
Allow recruiters to access the job seeker applications for each of their jobs advertised
Allow recruiters to pay for their job listings before they are live on the jobs board website
Allow recruiters to see how many job seekers have viewed each of their job postings
Over 30 minutes of this course is free to try before you enroll!
... and much more!",영어,https://www.udemy.com/course/the-applied-guide-to-corvid-aka-wix-code-from-beginner/
no-code-development,ChatGPT,Make Python Programs with ChatGPT with Zero Coding Skills,초급자,"₩17,000","₩23,000",3시간 주문형 동영상,"배울 내용
You will learn how to generate working Python programs with ChatGPT.
You will learn how to execute the generated code on your computer.
You will learn how to use ChatGPT to generate Python scripts that automate things.
You will learn how to use ChatGPT to generate Python scripts that analyze and visualize data.
You will learn how to use ChatGPT to generate Python programs to build web apps.
You will learn how to use ChatGPT to generate Python programs for desktop GUI apps.
You will gain hands-on experience through practical examples and projects.
You will develop a solid foundation in using ChatGPT to generate Python code without any prior programming experience.",영어,https://www.udemy.com/course/turn-ideas-into-python-programs-with-chatgpt/
no-code-development,WordPress,How to Make a Website Without Coding- WordPress & Web Skills,모든 수준,"₩19,000","₩25,000",9시간 주문형 동영상,"배울 내용
Learn to create a business site with testimonials, clear calls to action, and eCommerce capabilities to sell products online
Learn to create a blog with images, video, email capture forms, and beautiful share buttons
Learn to create an online resume/portfolio with visual representation of skills, lightbox for displaying portfolio images, and a simple contact form for others to get in touch
Choose the right domain name for your site
Get your web hosting set up
Learn how to make a logo
Learn to optimize your website for search engines
Learn to add and manage content on your website
더 보기",영어,https://www.udemy.com/course/make-a-website-without-code-wordpress-course/
no-code-development,DevOps,50 DevOps Interview Questions & Answers - 2023,모든 수준,"₩17,000","₩49,000",6.5시간 주문형 동영상,"배울 내용
Prepare for Devops interviews
Get to know Devops interview questions that could be asked in the interview and how to answer them
Evaluate your knowledge on Devops
Know how to answer Devops questions in the interview",영어,https://www.udemy.com/course/50-devops-interview-questions-answers/
