직무명,회사명,채용공고명,근무지역,고용형태,경력조건,교육,마감일,출처,채용공고상세
게임개발,(주)엔씨아이티에스,[NC 자회사] ㈜NC ITS ITSM 개발 인력 채용,경기 성남시 분당구,정규직,신입 · 경력,"대학(2,3년)↑",~ 06/28(수)(11일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45928447,"채용공고
모집분야
: [Corp Dev Div.] KR Sourcing Team Member
지원자격
: 학력 무관, 경력 5년 이하
근무지역
: 역삼 센터필드 East 타워
모집인원
: 0명
채용일정
2023-06-30(금) 23:59까지, 채용시 마감
※ 상세 모집요강 및 접수방법은 [홈페이지 지원] 참조
   "
게임개발,한국기술교육직업전문학교,"23년 하반기 전액국비 IT(JAVA/빅데이터, 클라우드/정보보안)취업교육생 모집",부산 동래구,교육생,경력무관,학력무관,~ 06/20(목)(3일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45987137,"채용공고
모집분야
: [Project Blue Team] Sr. Client Programmer 
지원자격
: 학력 무관, 경력 10년 이상
근무지역
: 판교 GREITS PANGYO
모집인원
: 0명
채용일정
2023-06-30(금) 23:59까지, 채용시 마감
※ 상세 모집요강 및 접수방법은 [홈페이지 지원] 참조"
게임개발,(주)엔씨아이티에스,[NC 자회사] ㈜NC ITS 시스템 엔지니어 채용,경기 성남시 분당구,정규직 · 계약직,경력 5년↑,"대학(2,3년)↑",~ 06/29(목)(10일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45936064,"(주)제이디디지털스튜디오
미디어아트 전문 기획/제작사


  ""상상하는 모든 것을 현실로""  



  최고의 CG/VFX/Motion graphics 제작 기술을 가지고 아이디어의 시작부터 완성까지  모든 크리에이티브 영역 제작   
           콘텐츠 기획, 영상제작, 시스템/공간 설계 및 구축, 운영/유지보수 100% 자체 제작으로 맞춤 서비스 제공         


   현대자동차, 하이브, SM엔터테인먼트, CJ슈퍼레이스, 삼성전자, 한화시스템,    
   한화오션, 아토팜, 포스코 등 굴지 기업의 콘텐츠 제작을 맡은 국내 TOP 그룹  



모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 대졸 이상 (2,3년)
ㆍ나이/성별 : 무관
ㆍ경력 : 2년 이상

※ 우대사항
- 실감형 미디어아트 (프로젝션 맵핑, 인터랙티브와 같은 미디어 콘텐츠) 경험자
- 인터랙티브 (유니티/언니얼 등 게임엔진 Tool 활용) 제작 관련 경험자
- IT 및 미디어아트 신기술에 관심이 많은자
- 커뮤니케이션이 능통하고 협업이 수월한자
- MS PPT, Excel 등 기본적인 문서 프로그램 작성 가능자
- 관련학과 전공자

미디어아트 전시 인터렉티브 개발자 모집(경력) 제작본부 1명
ㆍ미디어아트 (프로젝션 맵핑, 멀티스크린 등) 콘텐츠 R&D 및 제작
ㆍ인터랙티브 하드웨어 솔루션 R&D
ㆍ장비 전원제어 및 스케줄링
ㆍ프로젝트 제작 보조 업무 

근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 주 5일(월~금) 09:00~18:00
ㆍ 근무지역 : (08716) 서울 관악구 은천로 51 은호빌딩 7F(봉천동) - 서울 2호선 봉천 에서 500m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2023년 6월 21일 (수) 22시 ~ 2023년 6월 30일 (금) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서

유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.

홈페이지
ㆍwww.jd-art.co.kr
ㆍwww.jddigitalstudio.com

복리후생
ㆍ4대보험, 자율복장, 자유로운 연차사용
ㆍ명절선물, 생일선물, 경조 휴가 및 경조금 지원
ㆍ식대지원, 외근 교통비, 야근식대지원, 추가수당지원 
ㆍ해외연수(콘텐츠 답사 지원)
ㆍ탕비실, 간식제공, 체력단련실, 야외테라스 

본사 주소(근무지, 면접장소)
ㆍ서울 관악구 은천로 51 은호빌딩 7층(봉천역 도보 5분 거리)"
게임개발,(주)엔씨아이티에스,[NC 자회사] ㈜NC ITS 게임웹운영 인원 채용,경기 성남시 분당구,계약직,경력무관,"대학(2,3년)↑",오늘마감(13일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45908179,
게임개발,(주)네트로,(주)네트로 부문별 신입/경력 채용,대구 수성구,정규직,신입 · 경력,고졸↑,~ 06/30(금)(13일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45905465,
게임개발,(주)크래프톤,[Engineering Div.] Online Game Tech PM (2년 이상),서울 강남구,정규직,경력 2년↑,학력무관,~ 06/30(금)(2일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45991805,"[달콤소프트]개발실 Unity클라이언트/클라이언트 모집

회사소개

     SuperStar는 2014년 SuperStar SMTOWN을 시작으로 약 20개의 기획사, 400명 이상의 아티스트와 함께

     성장하여 전세계 약 126개국 이상에서 약 8,000만명 이상의 K-POP 팬덤 사용자를 확보하고 있는

     “New Contenets Gamification Platform”입니다.

     당사는 미국, 일본, 싱가폴에 해외 자회사 설립을 통해 K-POP 뿐만 아니라 글로벌 아티스트로 확대하며,
           글로벌 서비스로 도약하고 있습니다. 
모집부문 및 상세내용

클라이언트 신입 모집(마감)
    담당업무
    ㆍ라이브 서비스 중인 슈퍼스타 시리즈를 개발 및 유지보수
   
     자격요건
     ㆍUnity3D 사용 경험 1년 이상이신 분
     ㆍ한 가지 이상 프로그래밍 언어를 1년 이상 경험이 있으신 분
ㆍGithub를 사용한 경험이 있으신 분
ㆍ원활한 협업을 위한 커뮤니케이션 능력이 있으신 분

우대사항
ㆍAndroid, Objective-C, Swift 사용 경험이 있으신 분
ㆍ새로운 기술 습득에 관심이 많은 분

☆ 클라이언트 경력직 모집
 담당업무
ㆍ라이브 서비스 중인 슈퍼스타 시리즈를 개발 및 유지보수
ㆍUnity엔진을  사용 하여 슈퍼스타 시리즈를 개발 및 유지보수
ㆍ클라이언트 관리 및 개선
   
 자격요건
ㆍ관련 경력 5년 이상이신 분
ㆍ유니티 엔진 및 C# 프로그래밍 언어의 높은 이해도를 가지신 분
ㆍ무엇보다 팀워크를 중요하게 생각하시는 분
ㆍ원활한 협업을 위한 커뮤니케이션 능력이 있으신 분

 우대사항
ㆍGit을 사용하여 꾸준히 프로젝트를 관리한 경험이  있으신 분
ㆍ다양한 라이브러리를 적용한 경험이 있으신 분
ㆍIOS 환경에서의 개발 혹은 빌드 경험이 있으신 분
ㆍ리펙토링이나 다른 사람의 코드를 보는 것을 즐겨하시는 분

☆ 클라이언트 시니어 경력직 모집
담당업무
ㆍ경력 : 경력 7년 ~ 20년
ㆍ기타 필수 사항
- 해당직무 근무경험
우대사항
ㆍ컴퓨터/시스템공학, 공학계열
☆ Unity 클라이언트 경력직 모집(제작파트)
담당업무
ㆍ경력 : 경력 3년 ~ 20년
ㆍ기타 필수 사항
- 해당직무 근무경험
우대사항
ㆍ컴퓨터/시스템공학, 공학계열
☆ Unity 클라이언트 경력직 모집(R&D파트)
담당업무
ㆍ기술적 문제 및 이슈 등을 선행적으로 해결하고, 신규 프로젝트의 기술부분을 검토 및 구현
ㆍUnity 엔진 개발환경 기술 이슈 대응
ㆍ신규 프로젝트 도입시 구현
ㆍ기타 기술관련 R&D

자격요건
ㆍ관련 경력 2년 이상이신 분
ㆍC# 및 Unity 엔진 사용 경력 3년 이상이신 분
ㆍ문서 작성 능력이 우수하신 분

ㆍ기타 필수 사항
- 해당직무 근무경험
우대사항
ㆍ컴퓨터/시스템공학, 공학계열
클라이언트 QA엔지니어링 경력직 모집(마감)
담당업무
ㆍ자동화에 중점을 둔 테스트 계획 및 시스템 설계
ㆍCI도구를 사용하여 자동화 테스트 유지 보수

자격요건
ㆍ3년 이상의 모바일/웹 환경의 QA 업무 경험이 있으신 분
ㆍCI도구를 사용한 테스트 자동화 설계 및 유지보수 가능하신 분
ㆍ프로그래밍 언어를 사용하여 개발경험 2년 이상이신 분
ㆍ이슈 발생 상황에 대한 원인 추적 및 분석 능력이 있으신 분

우대사항
ㆍ슈퍼스타 시리즈의 높은 이해도와 애정을 가지고 계신 분
ㆍGithub, Slack, Trello를 사용해본 경험이 있으신 분
ㆍ새로운 QA프로세스를 도입하거나 개선해본 경험이 있으신 분
ㆍ애자일 및 스크럼 소프트웨어 개발 경험이 있으신 분
ㆍ명확하고, 간결한 커뮤니케이션 능력이 있으신 분
전형절차
서류전형
1차 면접
2차 면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 조기 채용 시 마감
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
ㆍ 제출서류 : Github URL 제출 필수
유의사항

ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다. 
ㆍ본 고지는 『채용절차의 공정화에 관한 법률』 제11조 제6항에 따른 것입니다.  
ㆍ당사 채용에 응시한 구직자 중 최종합격이 되지 못한 구직자는 『채용절차의 공정화에 관한 법률』에 따라 제출한 채용서류 
   의  반환을 청구할 수 있음을 알려 드립니다. 다만, 홈페이지 또는 전자우편으로 제출된 경우나 구직자가 당사의 요구 없이     자발적으로 제출한 경우에는 그러하지 아니하며, 천재지변이나 그 밖에 당사에게 책임 없는 사유로 채용서류가 멸실된 경     우에는 반환한 것으로 봅니다. 
ㆍ위 본문에 따라 채용서류 반환 청구를 하는 구직자는 채용서류 반환청구서[채용절차의 공정화에 관한 법률 시행규칙 
   별지 제3호 서식]를 작성하여 당사로 이메일(recruit@dalcomsoft.com)을 제출하면, 제출이 확인된 날로부터 14일 이내
   에  지정한 주소지로 등기우편을 통하여 발송해 드립니다. 이 경우 등기우편요금은 수신자 부담으로 하게 되오니
   유념하시기 바랍니다. 

당사는 위 2항 본문에 따른 구직자의 반환 청구에 대비하여 채용 여부가 확정된 날로부터 180일 간 구직자가 제출한 채용서류 원본을 보관하게 되며, 그때까지 채용 서류의 반환을 청구하지 아니할 경우에는 『개인정보보호법』에 따라 지체 없이 채용서류 일체를 파기할 예정입니다."
게임개발,(주)크래프톤,[Engineering Div.] Sr. Risk Analysis Client Programmer,서울 강남구,정규직,경력 5년↑,학력무관,~ 06/30(금)(2일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45991675,"IT학원프로게이머코치모집(카트/발로란트/에이펙스/배그/롤)
모집부문 및 상세내용
모집분야 (지원분야 종목 표기 필수)
ㆍ리그오브레전드 코치님
ㆍ카트 코치님
ㆍ에이펙스레전드 코치님  
ㆍ발로란트 코치님 
ㆍ배틀그라운드 코치님 
ㆍ모바일 배틀그라운드 코치님 
ㆍ미경력 지원 가능
ㆍ지원분야 종목 표기  필수 
발로란트 코치/에이펙스 코치/배틀그라운드/모바일배그 코치님 모집
지원자격
ㆍ미경력 지원 가능
ㆍ경력 : 무관 ( 경험이 적다고 무시하지 않습니다! 지도자의 희망으로도 충분합니다. )
ㆍ학력 : 무관 (게임을 좋아하시는 분들 중 열정과 의지, 성실함이 있으신 모든 분들)
ㆍ지원분야 종목 표기 필수 

근무조건
ㆍ 근무형태 : 위촉직, 프리랜서, 파트
ㆍ 근무지역 : (110-126) 서울 종로구 종로6가 20-3 서울게임아카데미 - 서울 4호선 동대문 에서 200m 이내
전형절차
.입사 시 제출 서류: 전 회사 근로소득원천징수 영수증(급여내역). 최종 졸업증명서 
 서류전형
1차면접 (실무자면접)
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2023년 6월 2일 (금) 16시 ~ 2023년 7월 2일 (일) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서  (전 회사 연봉 필수 기재)
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
게임개발,일렉트로닉아츠코리아유한책임회사,[Unannounced Project] Mobile Client Software Engineer (모바일 클라이언트 개발자),서울 강남구,정규직,2 ~ 10년,학력무관,상시채용(2일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45996368,[ 전입신고 후 울산 본사에서 근무 가능하신 서울 분도 환영합니다 ! ]
게임개발,(주)크래프톤,[Project Blue Team] Client Programmer (5 yrs +),경기 성남시 분당구,정규직,경력 5년↑,학력무관,~ 06/30(금)(3일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45985843,"로블록스 3D 모델러 (메타버스 배경 및 에셋)



모집부문 및 상세내용

회사 소개
ㆍ디피앤스튜디오는 로블록스 플랫폼 내에서 다양한 게임과 메타버스 공간을 제작 및 운영하는 스튜디오입니다.
ㆍ대표적인 게임의 성과로 총 방문자 1억, MAU 150만을 달성하기도 하였습니다.
ㆍ현재 운영 및 신규 프로젝트의 배경 맵 및 각종 에셋 모델러를 모집하고 있습니다.
ㆍ회사에 대한 문의는 언제든 환영하오니 담당자 메일로 연락 부탁드립니다.


담당업무
ㆍRoblox 게임 내 배경 맵 및 아이템/캐릭터 등의 에셋에 대한 3D 모델링
ㆍ기획/프로그래밍 파트와 커뮤니케이션을 통한 모델 수정 및 보완
ㆍ동사 소유 게임의 신규 챕터 및 신규 파쿠르 게임 등 담당

로블록스 3D 모델러 (메타버스 배경 및 에셋 모델러) 0명
지원자격
ㆍ로블록스 스튜디오 숙련자
ㆍ로블록스의 물리엔진 및 라이팅에 대한 이해가 있으신 분
ㆍBlender 등 1개 이상의 3D 모델링 툴 숙련자
ㆍ로우폴리 및 최적화에 대한 이해가 있으신 분
ㆍ기획/프로그래밍 파트와 원활한 커뮤니케이션이 가능하신 분
우대사항
ㆍ로블록스 게임 최적화 및 출시경험자 우대
ㆍ로블록스만의 그래픽 요소(캐릭터 리그타입, 아이템 웰딩, 머테리얼, 터레인, 이펙트, 애니메이션 등)에 깊은 이해가 있으신 분 우대
ㆍ타 게임엔진 경험자 우대
ㆍ외국어(영어) 가능자 우대
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월, 계약직(정규직 전환가능)-3개월
ㆍ 근무일시 : 주 5일(월~금)
ㆍ 근무지역 : 서울 마포구 (홍대입구역 인근) 
전형절차
서류전형
1차면접
2차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2023년 6월 23일 (금) 14시 ~ 채용시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
ㆍ 제출서류 : 추가적인 이력사항 및 포트폴리오 제출가능
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
게임개발,(주)크래프톤,[Black Budget] UE5 Contents Programmer (3년 ~ 10년),서울 서초구,정규직,3 ~ 10년,학력무관,~ 06/30(금)(3일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45984527,"채용공고
모집분야
: [Black Budget] UE5 Contents Programmer
지원자격
: 학력 무관, 경력 3 ~ 10년
근무지역
: 서초 마제스타 시티 타워
모집인원
: 0명
채용일정
2023-06-30(금) 23:59까지, 채용시 마감
※ 상세 모집요강 및 접수방법은 [홈페이지 지원] 참조"
