,직무중분류,직무소분류,채용공고명,채용기한,해시태그,채용공고상세_text,채용공고상세_img,채용공고상세_url,고용형태,경력,근무지역,학력,급여조건,우대사항,회사명,회사규모,회사분야,복리후생,출처
0,웹프로그래머,PHP,"[유스업파트너스(주)] 상담 , 경영지원, 개발 신입/경력 채용",~07.28 (금),"웹프로그래머, 일반사무·사무지원, 고객상담·관리·수퍼바이저, 사회복지·상담, 금융사무·심사·추심, 인바운드 텔레마케터, 아웃바운드 텔레마케터, 데이터베이스·DBA,",,https://c.incru.it/CS/%EC%9C%A0%EC%8A%A4%EC%97%85%ED%8C%8C%ED%8A%B8%EB%84%88%EC%8A%A4_%EC%B1%84%EC%9A%A9%EA%B3%B5%EA%B3%A0_230627%20(1).png,,정규직 [수습기간: 3개월],신입/경력(연차무관),"서울 > 강남구, 전지역, 관악구, 도봉구, 동대문구, 광진구, 강동구, 동작구, 구로구, 강북구, 금천구, 마포구, 서대문구, 노원구, 강서구, 서초구, 영등포구, 중랑구, 용산구, 은평구, 송파구, 성동구, 성북구, 종로구, 중구, 양천구",학력무관,협의,"자격증 : 컴퓨터활용능력, 기타 : 인근거주자, 해외여행에 결격사유가 없는자",유스업파트너스(주),중소기업 (사원수 15명),은행·카드·투자기관,"연차, 월차, 국민연금, 의료보험, 산재보험, 고용보험, 장기근속자포상, 명절선물, 생일선...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2306280001164
1,웹프로그래머,PHP,"PHP, 웹개발 신입/경력 채용",상시,웹프로그래머,"국내여행사 및 골프여행 전문 에이전시 이즈플러스 PHP, 웹개발 신입/경력 채용 모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 PHP 웹개발자 [담당업무] - 홈페이지 및 여행사 모객관리 솔루션을 개발하고 유지보수하는 업무입니다.  [근무부서 및 직급/직책] 직급/직책: 사원 [자격요건] 경력사항: 신입, 경력(연차무관) 학력사항: 학력무관  0 명 근무조건 고용형태: 정규직(수습기간3개월) 인근지하철역: 인천1호선 예술회관 (3번 출구에서 300m이내) 급여조건: 연봉 2500 ~ 3000 만원 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종합격 추가 제출서류 이력서, 자기소개서 접수방법 상시채용 접수방법: 인크루트 채용시스템, 이메일 접수양식: 인크루트 이력서, 자유양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,정규직,신입/경력(연차무관),"인천 > 남동구, 전지역, 동구, 중구, 부평구, 강화군, 서구, 연수구, 미추홀구, 계양구, 옹진군, 서울 > 전지역, 관악구, 구로구, 금천구, 경기 > 전지역, 고양시 덕양구, 고양시 일산동구, 고양시 일산서구, 광명시, 구리시, 군포시, 김포시, 과천시, 남양주시, 부천시, 성남시 분당구, 성남시 수정구, 성남시 중원구, 수원시 권선구, 수원시 영통구, 수원시 장안구, 시흥시, 수원시 팔달구, 안산시 단원구, 안산시 상록구, 안성시, 안양시 동안구, 안양시 만안구, 오산시, 용인시 기흥구, 용인시 처인구, 용인시 수지구, 이천시, 하남시, 화성시, 평택시",학력무관,협의,,이즈플러스,중소기업 (사원수 2명),네트워크·통신,"주5일근무, 연차, 보건휴가, 경조휴가, 국민연금, 의료보험, 산재보험, 고용보험, 퇴직연...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2305120001419
2,웹프로그래머,PHP,웹개발 담당자 모집,상시,"웹프로그래머, 응용프로그래머, 데이터베이스·DBA","모집분야 경력 담당업무 응시자격 웹개발 신입/경력 - 웹개발 - PHP, JAVA(JSP) 등 웹 프로그램 개발 경험자 - AJAX 및 자바스크립트 개발 경험자 - MySQL 또는 Oracle 사용 경험자 ※ 개인 Github 주소 제출 필수 제출서류 - 신입의 경우, 최종학교 졸업증명서, 성적증명서 스캔파일 첨부 - 개인 Github 주소 첨부 전형절차 - 서류전형>테스트전형>면접전형>최종합격 문의사항 ㆍ문의사항이 있으실 경우 1:1 문의하기를 통해 문의 주시기 바랍니다. ㆍ보훈대상자의 경우 관계법령에 의거하여 우대합니다.",,,정규직,신입/경력(연차무관),서울 > 양천구,학력무관,회사내규,,(주)커넥트웨이브,중견기업 (사원수 774명),소프트웨어·솔루션·ASP,"주5일근무, 연차, 월차, 보건휴가, 경조휴가, 국민연금, 의료보험, 산재보험, 고용보험, ...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2306150001441
3,웹프로그래머,PHP,"웹개발, 백엔드 외 신입/경력 정규직 채용",상시,웹프로그래머,"(주)코인챗 웹개발, 백엔드 외 신입/경력 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] - 암호화폐 해싱 파워 구매 서비스 개발 - 암호화폐 채굴 소프트웨어 개발 및 수정 - 블록체인 기반의 스포츠 경기 결과 관리 시스템 개발  [근무부서 및 직급/직책] 근무부서: 개발팀 [자격요건] 경력사항: 신입, 경력(연차무관) 학력사항: 학력무관 기타: 다음 요건 중 1개 이상에 해당하시는 분  • 블록체인/암호화폐 관련 높은 관심도 • 블록체인/암호화폐 관련 개발 유경험 • 웹 기반 개발(프론트 & 백)에 능숙  0 명 근무조건 고용형태: 정규직(수습기간3개월) 근무부서: 개발팀 인근전철역: 서울3호선 양재 (4번 출구에서 1km이내) 급여조건: 연봉 4000 ~ 5000 만원 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 시험진행 > 최종심사 > 최종합격 추가 제출서류 이력서에 연락처, 희망연봉 기재 제출한 서류는 일체 반환하지 않음 이력서, 자기소개서 서류전형, 면접전형 포트폴리오 직무적성검사결과 접수방법 상시채용 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서, 자유양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",https://i.incru.it/jobTemplet/temp2018/img/temp_slogan.png,,정규직 [수습기간: 3개월],신입/경력(연차무관),서울 > 강남구,학력무관,연봉 4000만원 ~ 5000만원,,(주)코인챗,,,,https://job.incruit.com/jobdb_info/jobpost.asp?job=2105260001051
4,웹프로그래머,PHP,AWS 클라우드엔지니어 모집,상시,"네트워크·서버·보안, ERP·시스템분석·설계, 웹프로그래머","세계 최초 얼굴 인식 및 시선 추적 기반 온라인(비대면) 시험 부정행위 자동 감지 솔루션 개발 사이며, 대학, 협회(자격증), 공공기관, 국내 대기업의 비대면 채용 시험/직무 역량 평가/자격증 온라인 필기 시험 등에 당사 솔루션의 니즈가 확대되고 있으며, 국내 시장 검증을 바탕으로 글로벌 시장으로 확장할 계획을 갖고 있습니다.  포스트 코로나 시대에 목표지향적이고, 진취적이며, 개발 역량 및 마인드가 확고한 직원을 채용하고 있으니 꿈을 펼쳐 보시기 바랍니다.  (주)스마트디아그노시스 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] ㆍ당사의 AWS 환경에 맞게 구축된 솔루션 인프라 운영 ㆍ당사 운영 솔루션 (www.testwith.co.kr)  [근무부서 및 직급/직책] 근무부서: 연구개발팀 [자격요건] ㆍ경력사항: 신입, 경력(3년 이상 20년 이하) ㆍ학력사항: 학력무관 ㆍAWS 구축 및 운영 경험 2년 이상 ㆍ AWS 아키텍처 설계/구축/운영 경험자 ㆍ원활한 커뮤니케이션과 동료에 대한 배려를 갖추신 분 ㆍ자율성 안에서 책임감 있게 업무를 해낼 수 있으신 분  우대역량 ㆍAWS 공인 자격증(AWS Certified Solutions Architect 등) 보유하신 분  연봉 ㆍ3,500 ~ 5,000만원 (경력 및 역량에 따라 면접 후 결정)  1 명 근무조건 고용형태: 정규직(수습기간3개월), 병역특례(전문연구요원) 근무부서: 연구개발팀 급여조건: 연봉 회사내규 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 추가 제출서류 이력서, 자기소개서 접수방법 상시채용 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,"정규직 [수습기간: 3개월], 병역특례 [전문연구요원]",신입/경력3~20년,서울 > 마포구,학력무관,회사내규,,(주)스마트디아그노시스,중소기업 (사원수 7명),인터넷·포털·컨텐츠·게임,"(03929) 서울 마포구 성암로 189 806호 (상암동,중소기업중앙회)",https://job.incruit.com/jobdb_info/jobpost.asp?job=2207280001464
5,웹프로그래머,PHP,프론트엔드개발자 모십니다.,~02.03 (토),"웹프로그래머, 컨텐츠·사이트운영, HTML·퍼블리싱·UI개발","(주)바로티나 프론트엔드개발자 모십니다. 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] • 페어라이브 서비스의 다양한 웹 서비스, 웹앱, 백오피스를 개발합니다. • Javascript web application framework, library 개발 및 운영합니다. • 플랫폼개발, 메인터넌스, 이커머스솔루션  [근무부서 및 직급/직책] 근무부서: 연구소 직급/직책: 팀원 [자격요건] 경력사항: 신입, 경력(연차무관) 학력사항: 학력무관   0 명 근무조건 고용형태: 정규직(수습기간2개월), 계약직(근무기간 협의 후 결정, 정규직 전환검토) 근무부서: 연구소 급여조건: 연봉 협의 후 결정 주 2회 재택근무 / 오전 10시~오후7시 근무  자격요건(상세)  1년 이상의 웹 프론트엔드 개발 경험(신입가능)  HTML(5), CSS, Javascript(최소 ES5), React 기본 지식 보유  AWS, Git & Github, HTTP, RESTful API 클라이언트 개발 경험  Javascript MV* 프레임웍 기반 웹앱 개발 및 운영 경험  Redux, Redux-Saga, RxJS 등 개발 및 운영 경험  기획/디자인/운영 등 다양한 직군과 같이 문제를 정의하고 해결책을 찾아나갈 수 있는 협업 능력 우대사항 TypeScript 개발 및 운영 경험이 있으신 분  페어 코딩 및 코드 리뷰 경험이 있으신 분  단위 테스트, 통합 테스트 자동화 및 배포 자동화 경험이 있으신 분  퍼블리싱 가능  웹사이트 성능 측정 및 최적화 경험이 있으신 분  웹사이트 보안에 대한 이해  Javascript 관련 오픈 소스 기여 경험이 있으신 분  백앤드 서비스 개발 경험 및 Database에 대한 이해 (RDBMS, No-SQL)  새로운 것에 도전하고, 스타트업의 성장에 함께 하고 싶은 분 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 추가 제출서류 이력서, 자기소개서 포트폴리오 접수방법 2023-03-05 (일) 23시59분까지 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서, 자유양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,"정규직 [수습기간: 2개월], 계약직 [근무기간: 협의 | 정규직 전환검토]",신입/경력(연차무관),경기 > 성남시 분당구,학력무관,협의,,(주)바로티나,중소기업 (사원수 7명),소프트웨어·솔루션·ASP,"주5일근무, 연차, 월차, 보건휴가, 경조휴가, 창립일휴무, 반차, 포상휴가, 산전/후 휴가...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2302030008450
6,웹프로그래머,PHP,[플랫폼사업본부] 경력 PHP 개발자 모집,채용시,"웹프로그래머, 기술영업, HTML·퍼블리싱·UI개발",,"https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=377643, https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=501627, https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=377644, https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=377633",,정규직,신입/경력(연차무관),서울 > 서초구,학력무관,회사내규,,주식회사 포비즈코리아,중소기업 (사원수 90명),언론·출판·신문·잡지,"주5일근무, 연차, 보건휴가, 경조휴가, 반차, Refresh 휴가, 육아휴직, 남성출산휴가, 산...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2306190004912
7,웹프로그래머,PHP,웹프로그램 개발자 모집...,상시,"웹프로그래머, 데이터베이스·DBA, 게임(Game)","(주)비전브이아이텍 웹프로그램 개발자 모집 모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 프로그래머 [담당업무] [웹프로그래밍] - 웹프로그래밍 - 웹, DB서버 구축 및 유지 - 웹 프로젝트 진행 및 솔루션 개발 - MS SQL, Oracle, 등 DBMS 설계 및 운영  [웹프로그래밍] - 웹프로그래밍 - 웹, DB서버 구축 및 유지 - 웹 프로젝트 진행 및 솔루션 개발 - MS SQL, Oracle, MySQL 등 DBMS 설계 및 운영  [근무부서 및 직급/직책] 근무부서: SI 사업부 직급/직책: 사원, 대리, 과장 [자격요건] 경력사항: 신입, 경력(연차무관) 학력사항: 대학(2,3년)졸업 이상 직무기술: JAVA·JSP·EJB 기타: [웹프로그래밍] - jsp, java, ASP / PHP 개발 능숙자 - HTML, JavaScript, css 능숙자 - MS SQL, Oracle, MySQL 등 DBMS 설계 및 운영 가능자 - 웹, DB서버 구축 및 유지 가능자  00 명 근무조건 고용형태: 정규직(수습기간3개월), 계약직(근무기간 협의 후 결정), 프리랜서(근무기간 협의 후 결정) 근무부서: SI 사업부 급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 접수방법 채용시 접수방법: 자사 홈페이지 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,"정규직 [수습기간: 3개월], 계약직 [근무기간: 협의], 프리랜서 [근무기간: 협의]",신입/경력(연차무관),서울 > 전지역,초대졸이상,협의,,(주)비전브이아이텍,중소기업 (사원수 20명),소프트웨어·솔루션·ASP,"주5일근무, 국민연금, 의료보험, 산재보험, 고용보험, 퇴직금, 퇴직금, 인센티브지급",https://job.incruit.com/jobdb_info/jobpost.asp?job=2301090001664
8,웹프로그래머,PHP,프로덕트 개발자 (PHP),상시,"웹프로그래머, ERP·시스템분석·설계, 데이터베이스·DBA","마켓보로를  소개해요 세상에 없던 방식으로 B2B 식자재 유통 시장의 문제를 해결하는  엔터프라이즈 푸드테크 플랫폼  [마켓보로 Marketboro]  마켓보로는 마지막 남은 Tech 분야의 불모지인 연간 55조원 규모의 B2B 식자재 유통시장에서 식자재 유통 SaaS ‘마켓봄’과 식자재 직거래 오픈마켓 ‘식봄’ 서비스를 통해 마켓보로만의 방식으로 가장 빠르고 정확하게 고객의 문제를 해결하고 있습니다.  또한 '중립과 공동성장'이라는 사업철학을 바탕으로 공급자의 희생을 강요하여 플랫폼의 이익을 극대화 하는 일은  하지 않습니다. 마켓보로는 2022년 6월, 400억 규모의 시리즈C 투자를 성공적으로 마치고 고객, 기업, 구성원의  동반 성장을 목표로 로켓 성장중입니다. (총 누적 투자액 약 600억)  고객의 문제를 해결하는 것을 넘어 시장을 혁신하고, 마켓보로와 함께 성장해 나갈 당신을 환영합니다!   📌PHP 개발자를 찾습니다!  마켓보로의 중요 서비스에서는 PHP를 필요로 합니다. 워드프레스, 위키피디아, 페이스북과 같은 세계적인  서비스들 역시 PHP를 기반으로 만들어졌습니다.   그 중 페이스북은 여전히 PHP를 중요한 언어로 가져가며 상호 보완할 수 있는 다른 언어와 함께 이용 중이며,  마켓보로도 이와 같습니다. PHP 기반으로 마켓보로의 서비스인 마켓봄과 식봄을 개발, 운영하며 보완 가능한  언어를 도입하여 팀과 개인의 공동 성장을 추구하고 있습니다.   ✅이런 분들과 함께하고 싶어요  • 마켓보로 비전에 공감하고 일이 되게 만드는 사람 • 분명한 목표를 가지고 딥다이브 하는 사람 • 성장을 지향하는 사람 • 함께 일하는 것을 지향하는 사람   ✅마켓보로 프로덕트 개발자(PHP)로 합류하시면 이런 일을 해요  • 마켓봄/식봄 제품 운영 개발 • 공통 플랫폼 전환 및 리팩토링   ✅이런 분을 찾고 있어요  • PHP 개발 경력 3년 이상 또는 그에 준한 역량 • 자사 서비스/솔루션 개발 운영을 해보신 분 • 코드리뷰 문화 경험이 있거나 거부감이 없는 분 • 새로운 것을 주도적으로 학습하는 분   ✅이런 분이라면 더 좋아요!  • 특정 언어 기술 스택에 구애 받지 않고, 다양한 개발 경험을 즐기시는 분 • 이커머스 경험이 있으신 분 • 다양한 도메인 경험을 해보신 분   ✅프로덕트 개발자(PHP) 포지션에 관하여 자주 묻는 질문을 정리해봤어요  Q. 프레임워크는 코드이그나이터와 라라벨을 모두 경험해야 지원이 가능한가요? • 저희 프로덕트는 라라벨보다는 CI 사용 비율이 높지만, CI 경험이 많지 않으신 분들도 부담없이 지원이 가능하며    프레임워크의 선호도는 서류전형과 인터뷰전형에 영향을 미치지 않습니다.    Q. 특정 언어 기술 스택에 구애 받지 않는다는 말을 어떤 의미인가요? 다른 언어로 개발을 할 수도 있나요? • 팀에서는 장기적으로 Spring/Kotlin 도입을 예정하고 있어서 PHP 기반의 경험을 갖고 계시지만, 새로운 언어와    기술에도 관심이 있으시거나 경험이 있으신 분들이면 더 좋습니다.    Q. (마켓보로 프로덕트 개발팀 리더의 Self-Question) 개발자로서 어떤 특별한 경험을 해볼 수 있을까요? • A/B 테스트 기반의 서비스 개선을 경험할 수 있습니다.     NO! ""우리 고객들이 이런 걸 좋아할 것 같으니 이제 이렇게 개발, 디자인을 해보겠습니다.""    YES! ""A/B 테스트를 통해 고객의 행동 패턴을 분석 > 데이터 기반의 의사결정 > 비즈니스 전략과 얼라인 된 개발""   ✅주요 기술 스택은 아래와 같아요  • PHP (CodeIgniter 3 / Laravel 9) • AWS RDS (MySQL) • AWS ECS (Fargate) • Docker • Bitbucket Pipeline • Datadog   ✅주로 활용하는 업무 툴이에요  • Jira, Confluence, Slack, Git, Docker, IntelliJ IDEA, Data Grip, Postman   ✅채용 절차를 참고해주세요  • 서류전형 - 대면 인터뷰 - 처우협의 - 최종합격   ✅혜택 및 복지 [업무 환경 및 제도] • 원하는 시간에 출퇴근이 가능해요. (코어타임 11시~16시) • 직급이 없이 ‘~님’으로 동료를 불러주세요. • 점심은 여유롭게 1시간 30분을 즐기고 있어요. • 편의점에 갈 필요 없이 스낵바를 마음껏 이용해요. • 사내추천제도를 활발히 운영 중이에요. (추천 시 100만원 지원)  [성장과 몰입] • 업무 성과에 대한 확실한 보상이 있어요. • 성장을 위한 교육/도서 구매를 매년 50만원씩 지원하고 있어요. • 1인 업무 집중 공간을 자유롭게 이용할 수 있어요. • 업무에 필요한 장비는 최대한 지원해 드려요. (MacBook/LG Gram/그 외 30만원 상당 추가 장비 지원) • 다양한 툴(Slack, Confluence, Google Drive 등)을 사용하고 있어요. 업무를 위한 더 좋은 툴이 있다면 제안해주세요.  [건강한 삶 지원] • 프리미엄 건강 검진을 지원해요. (인당 40만원 상당) • 소중한 구성원의 생일을 축하해 드려요. (상품권 지급 및 2시간 일찍 퇴근) • 경조 휴가와 경조금을 지급해 드리고 있어요. • 구성원들이 따뜻한 명절을 보낼 수 있도록 명절 상여금을 지급해요.",,,정규직,경력3년이상,경기 > 성남시 분당구,학력무관,회사내규,,(주)마켓보로,중소기업 (사원수 95명),쇼핑몰·전자상거래·오픈마켓,"주5일근무, 연차, 경조휴가, 반차, 육아휴직, 국민연금, 의료보험, 산재보험, 고용보험, ...",https://job.incruit.com/jobdb_info/jobpost.asp?job=2306270005770
9,웹프로그래머,PHP,"백엔드개발자, 모바일앱개발, 블록체인 개발 외 경력 정규직 채용",채용시,"웹프로그래머, 응용프로그래머, 네트워크·서버·보안","(주)와이즈텍 백엔드개발자, 모바일앱개발 외 경력 정규직 채용 모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 백엔드개발자(1名) 모바일앱개발(1名) 블록체인개발(1名) [담당업무] 백엔드 개발자 기존 서비스의 운영 개발 신규 api 개발  모바일앱 개발자 ios/android 앱 개발 기존 모바일 앱의 유지 보수 / 리펙토링 신규 서비스 설계 및 개발  블록체인 개발자 블록체인 플랫폼 개발 및 미들웨어 개발 블록체인 기반 신규 서비스 개발        [근무부서 및 직급/직책] 근무부서: 개발팀 직급/직책: 팀원 [공통자격요건] 학력사항: 고등학교졸업 이상 직무기술: 백엔드개발, 모바일앱개발, 모바일앱기획, 모바일앱운영, 블록체인플랫폼개발, 블록체인미들웨어개발, 블록체인개발, 모바일앱보수, 모바일앱리펙토링, API개발, 웹/API 개발, 백엔드(API)개발  백엔드 개발자 자격요건 해당 업무 5년 이상 경력자 웹/앱 기반 서비스 운영 경험 java, spring linux SQL  백엔드 개발자 우대사항 AWS 숙련자 php , python, 블록체인 관련 개발 경험자    모바일앱 개발자 자격요건 해당 업무 3년 이상 경력자 IOS / ANDROID  모바일앱 개발자 우대사항 하이브리드 프레임워크 개발 경험 java 개발 경험     블록체인 개발자 자격요건 해당 업무 2년 이상 경력자 백엔드 개발 경험자 블록체인 기반 서비스 개발 경험 NFT 서비스 개발 경험  블록체인 개발자 우대사항 KLAYTN 기반 개발 경험 다중 언어 사용에 익숙하신분 3 명 근무조건 고용형태: 정규직(수습기간 - 면접시 협의) 근무부서: 개발팀 인근전철역: 서울1호선 남영 (1번 출구에서 300m이내), 서울6호선 삼각지 (9번 출구에서 1km이내), 중앙선 효창공원앞 (5번 출구에서 1km이내), 서울4호선 숙대입구(갈월) (7번 출구에서 1km이내) 급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 추가 제출서류 이력서, 자기소개서 접수방법 접수방법: 인크루트 채용시스템, 이메일 접수양식: 인크루트 이력서, 자유양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,정규직 [수습기간: 0개월],경력2년이상,서울 > 용산구,고졸이상,협의,"기타 : 해당직무인턴경력자, 인근거주자",(주)와이즈텍,,,,https://job.incruit.com/jobdb_info/jobpost.asp?job=2205060001280
