대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
data-science,Data Analysis,아빠가 들려주는 [데이터 수집과 정리의 기본],초급자,"17,000",39000,1시간 주문형 동영상,"배울 내용
데이터를 효과적으로 수집하는 방법
데이터 분석하기 좋도록 데이터를 정리하는 방법
잘못된 데이터를 예방하고 찾고 수정하는 방법",한국어,https://www.udemy.com/course/data_basic/
data-science,Data Analysis,"[마이크임팩트 GFC] 데이터로 이룬 투명성, 우리의 삶을 어떻게 바꾸는가",모든 수준,"17,000",49000,1시간 주문형 동영상,"배울 내용
꿈을 찾고 이루고 싶은 오늘의 청춘들
미래와 기술을 알고 싶은 오늘의 사업가들
미래의 자산가를 꿈꾸는 오늘의 투자자들
더 나은 내일을 살고싶은 오늘의 직장인들",한국어,https://www.udemy.com/course/gfc-rndh/
data-science,Python,"【한글자막】 머신러닝의 모든 것 with Python, R",모든 수준,"17,000",88000,44.5시간 주문형 동영상,"배울 내용
Python과 R로 Machine Learning 핵심 모델 완벽 마스터
다양한 모델의 디테일한 동작 원리와 개념들(Regression, SVM, Random Forest, Logistic Regression, k-NN, Naive Bayes, Clustering, 인공신경망, CNN, PCA 등)
차원 축소(PCA)의 핵심 개념
Machine Learning 모델의 성능 향상을 위한 과정(XGBoost, k-Fold Cross Validation, Grid Search)
문제에 따라 적용할 적절한 Machine Learning 모델을 선택하는 방법
강화학습과 Deep Learning의 핵심 모델 일부(UCB, 톰슨 샘플링, 인공신경망, CNN 등)
Machine Learning 모델을 통해 비즈니스를 성장시키는 법",한국어,https://www.udemy.com/course/machine-learning-atoz/
data-science,Statistics,【한글자막】 비즈니스 분석 및 Data Science 를 위한 핵심 통계학 A-Z™,모든 수준,"17,000",88000,6시간 주문형 동영상,"배울 내용
정규 분포에 대한 이해
표준 편차에 대한 이해
연속변수와 불연속변수의 차이
표본 분포에 대한 이해
중심 극한 정리에 대한 이해
실무에서 중심 극한 정리 적용
가설검정에 평균 적용
가설검정에 비율 적용
Z 점수와 Z 테이블 사용
T 점수와 T 테이블 사용
정규 분포와 T 분포의 차이
통계적 유의성에 대한 이해와 적용
신뢰구간 생성
p값 남용의 잠재적 함정",한국어,https://www.udemy.com/course/best-business-analysis/
data-science,Data Analysis,메타분석 입문을 위한 RevMan 배우기,초급자,"17,000",59000,1시간 주문형 동영상,"배울 내용
메타분석의 기본 개념
메타분석을 위한 검색식 잡기
논문 발표를 위한 메타분석의 최소한의 결과들
깔끔하게 정리된 메타분석의 그래프들",한국어,https://www.udemy.com/course/ez_revman/
data-science,Deep Learning,"【한글자막】 딥러닝의 모든 것 with Python, Tensorflow, Pytorch",모든 수준,"17,000",88000,22.5시간 주문형 동영상,"배울 내용
딥러닝 핵심 모델에 대한 깊은 이해와 실제 데이터 적용 실습
ANN(인공 신경망) 모델의 이해와 적용
CNN(합성곱 신경망) 모델의 이해와 적용
RNN(순환 신경망) 모델의 이해와 적용
SOM(자기조직화지도)의 이해와 적용
볼츠만 머신의 이해와 적용
AutoEncoder의 이해와 적용",한국어,https://www.udemy.com/course/best-artificial-neural-networks/
data-science,Data Visualization,너무 쉬운 엑셀 피벗 테이블,초급자,"19,000",59000,2시간 주문형 동영상,"배울 내용
피벗 테이블의 재미를 배웁니다.
최소 시간으로 가장 효율적으로 데이터를 정리합니다.
데이터를 만나면 일단 반가운 마음이 생깁니다.
엑셀의 함수보다 더 쉬운 피벗 테이블의 기능을 능숙하게 사용하게 됩니다.
피벗 테이블에서 발생하기 쉬운 에러들을 사전에 예방하는 방법을 배웁니다.",한국어,https://www.udemy.com/course/pivot_table/
data-science,Computer Vision,【한글자막】 Computer Vision (컴퓨터 비전) : 마스터 클래스,모든 수준,"17,000",88000,25.5시간 주문형 동영상,"배울 내용
얼굴 감지를 위한 캐스케이드 및 HOG 분류기의 기본적 직관 이해하기
OpenCV 및 Dlib 라이브러리를 사용하여 얼굴 감지 구현하기
자동차, 시계, 눈 및 사람의 전신과 같은 객체를 OpenCV를 사용하여 감지하는 방법 배우기
3 개의 얼굴 감지기 결과 비교하기: 하르 캐스케이드, HOG(그래디언트 방향 히스토그램), CNN(합성곱 신경망)
이미지와 웹캠을 사용한 얼굴 감지하기
얼굴 인식을 위한 LBPH 알고리즘의 기본적 직관 이해하기
OpenCV 및 Dlib 라이브러리를 사용하여 얼굴 인식 구현하기
이미지와 웹캠을 사용한 얼굴 인식하기
객체 트래킹을 위한 KCF 및 CSRT 알고리즘에 대한 기본적 직관 이해하기
OpenCV 라이브러리를 사용하여 영상에서 객체를 트래킹하는 방법 배우기
더 보기",한국어,https://www.udemy.com/course/best-computer-vision/
data-science,ChatGPT,모두를 위한 ChatGPT를 이용한 업무자동화 Part 1,초급자,"49,000",,5.5시간 주문형 동영상,"배울 내용
ChatGPT를 이용한 업무자동화 방법
Python 기초와 ChatGPT를 이용해서 Python 코드를 작성하는 법
ChatGPT의 동작 원리
다양한 업무자동화 방법(엑셀, PPT, 크롤링, 이미지처리)",한국어,https://www.udemy.com/course/chatgpt-business-automation-part-1/
data-science,Data Analysis,ADsP 2주 합격 올인원 패스,초급자,"119,000",,25시간 주문형 동영상,"배울 내용
상황에 따른 분석 방법론과 전반적인 데이터분석 프로세스 학습
데이터분석 실무에 필수적인 통계적 지식과 R 지식 습득
필수 이론 및 요점 정리를 통해 자격 검정 시험 완벽 준비
과목별 최신 기출문제 풀이로 시험 준비 완성",한국어,https://www.udemy.com/course/maso-ds-r-onc2005/
