대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
web-development,Web Development,【한글자막】 The Web Developer 부트캠프 2023,모든 수준,"17,000","₩88,000",73.5시간 주문형 동영상,"배울 내용
웹 개발 최신 문법 (HTML5, CSS3, 모던 자바스크립트)
Bootstrap 5, Semantic UI, Bulma 등 실무 CSS 프레임워크 사용법
정적 HTML과 CSS로 포트폴리오 사이트 만들기
멋진 반응형 포트폴리오 만들기
자바스크립트 기초 및 심화 문법
Vanilla JS를 사용한 DOM 조작법
NodeJS를 사용해 서버 사이드 프로그램 만들기
HTTP 요청과 Postman을 사용한 API 테스터링
SQL 인젝션, XSS 등 자주 발생하는 보안 위협 인식 및 방지하기
사용자 인증 기능 구현하기
다중 모델 및 DB 를 사용한 복잡한 웹 애플리케이션 만들기
Express와 MongoDB를 사용한 풀 스택 JS 애플리케이션 만들기
더 보기",한국어,https://www.udemy.com/course/the-web-developer-bootcamp-2021-korea/
web-development,Docker,【한글자막】 Docker & Kubernetes : 실전 가이드,모든 수준,"17,000","₩88,000",23시간 주문형 동영상,"배울 내용
Docker와 Kubernetes가 무엇이며, 왜 사용해야 하는지를 배우게 됩니다.
모든 시스템(macOS, Windows, Linux)에 Docker를 설치하고 사용하는 방법을 배웁니다.
Docker로 이미지 및 컨테이너의 생성법과 사용법을 배웁니다.
볼륨으로 데이터 관리 및 유지하기 같은 복잡한 주제를 이해합니다.
Docker 네트워크 및 DNS 서비스 검색을 통한 컨테이너 네트워킹을 배웁니다.
관리형 서비스 또는 Kubernetes를 사용하여 수동으로 Docker 애플리케이션을 배포하는 방법을 배웁니다.",한국어,https://www.udemy.com/course/docker-kubernetes-2022/
web-development,Web Development,【한글자막】 100일 코딩 챌린지 - Web Development 부트캠프,모든 수준,"17,000","₩88,000",79시간 주문형 동영상,"배울 내용
웹 작동 방식과 웹 개발자로 시작하는 방법
100일 안에 웹 개발 배우기(선택 사항 - 다른 속도를 선택할 수도 있음)
웹사이트, 웹 앱 그리고 웹 서비스 구축(이러한""things""이 무엇인지 이해)
HTML, CSS과 자바 스크립트로 프론트엔드 사용자 인터페이스 구축
NodeJS, Express 및 SQL + NoSQL 데이터베이스로 백엔드 프로세스 구축
웹사이트에 사용자 인증, 파일 업로드 또는 데이터베이스 쿼리와 같은 고급 기능 추가",한국어,https://www.udemy.com/course/100-2022-web-development/
web-development,React JS,모던 리액트(React)와 리덕스(Redux),모든 수준,"17,000","₩88,000",18시간 주문형 동영상,"배울 내용
리액트와 리덕스를 가지고 멋진 싱글 페이지 어플리케이션 만듭니다
리덕스 어플리케이션 구조화 뒤의 기본 개념 마스터하게 됩니다
구성화 가능한 컴포넌트를 만드는 것의 장점을 이해하게 됩니다
다른 모든이에게 어떻게 리덕스가 동작하는지 설명하는 기본이 제대로된 엔지니어가 됩니다
리액트를 서포트하는 툴체인인 npm, webpack, babel, ES6/ES2015 자바스크립트 구문에 익숙해집니다",한국어,https://www.udemy.com/course/react-redux-korean/
web-development,JavaScript,클린코드 자바스크립트 (2023 업데이트),중급자,"17,000","₩88,000",10.5시간 주문형 동영상,"배울 내용
자바스크립트로 코드를 작성하는 방법에 대해 고민해봅니다.
코드를 작성할 때 위험을 예방하고 관리합니다.
JavaScript의 특성을 파악합니다.
흔히 알려진 JavaScript 코드 스타일에 대한 견해를 탐구합니다.
클린 코드가 무엇인지를 JavaScript를 통해 학습합니다.",한국어,https://www.udemy.com/course/clean-code-js/
web-development,Typescript,【한글자막】 Typescript :기초부터 실전형 프로젝트까지 with React + NodeJS,모든 수준,"17,000","₩88,000",15시간 주문형 동영상,"배울 내용
Typescript를 사용해야 하는 이유
Typescript 작동방식에 대한 깊이 있는 이해
Typescript 기본/심화 문법을 나의 개발 프로젝트에 적용하는 법
React와 NodeJS/Express 개발환경에서 Typescript를 효과적으로 활용하는 법
실제와 거의 흡사한 Typescript 프로젝트 실습 (템플릿 코드 제공)",한국어,https://www.udemy.com/course/best-typescript-21/
web-development,Web Development,☕ 블랙커피 Vanilla JS Lv1. 문벅스 카페 메뉴 앱 만들기,초급자,"48,000",,5시간 주문형 동영상,"배울 내용
자바스크립트를 통해 상태관리 가능한 애플리케이션 개발
자바스크립트 이벤트 처리
웹서버와의 비동기 통신
자바스크립트 모듈 관리",한국어,https://www.udemy.com/course/vanilla-js-lv1/
web-development,React JS,한입 크기로 잘라 먹는 리액트(React.js),초급자,"48,000",,17시간 주문형 동영상,"배울 내용
실제 접속 가능한 React 포트폴리오를 갖게 됩니다
Javascript 프론트엔드 개발자로써 첫 발걸음을 내딛게 됩니다.
단순히 기술을 사용하기만 하는 것이 아니라, 완전히 이해하고 어떤 상황에서 필요하고, 어떻게 사용해야 하는지 아는 사람이 됩니다.
개발을 진행하다가 처음 만난 문제도 쉽게 해결할 수 있는 문제 해결 능력을 얻게 됩니다.
서버와 클라이언트, 터미널, SPA MPA 등등의 웹 CS지식을 완벽히 이해하고 응용할 수 있는 개발자가 됩니다.",한국어,https://www.udemy.com/course/winterlood-react-basic/
web-development,Django,Django(장고) 프레임워크로 주식 검색 웹 만들기,초급자,"17,000","₩35,000",37분 주문형 동영상,"배울 내용
Django Framework, api사용법, bootstrap",한국어,https://www.udemy.com/course/django-s/
web-development,Next.js,【한글자막】 Next.js & React - 완벽 정복 가이드 (incl. Two Paths!),모든 수준,"17,000","₩88,000",25시간 주문형 동영상,"배울 내용
사전 렌더링, SSR, 데이터 페칭, 파일 기반 라우팅 및 인증 등의 핵심적인 NextJS 기능
NextJS를 통해 클라이언트 사이드 및 풀스택 ReactJS를 구축하는 방법
실제 프로젝트를 구축하고, 예시를 통해 배운 내용 직접 실습
과정 전체를 수강할 시간이 부족한 경우, “NextJS 요약” 모듈로 강의 내용 빠르게 정리 가능",한국어,https://www.udemy.com/course/nextjs-react-incl-two-paths/
