대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
programming-languages,Python,【한글자막】 Python 부트캠프 : 100개의 프로젝트로 Python 개발 완전 정복,모든 수준,"₩17,000","₩88,000",60시간 주문형 동영상,"배울 내용
Python 기초 문법
OOP(객체 지향 프로그래밍), Python 심화 문법(동적 타이핑, 리스트 컴프리헨션 등)
데이터사이언스를 위한 Python 활용 및 핵심 라이브러리 사용법(Numpy, Pandas, Matplotlib, Seaborn, Plotly, Scikit-Learn 등)
Python을 활용한 웹 개발(HTML/CSS 기초, Bootstrap, Flask, Jinja templating engine, SQLite, SQLAlchemy, PostgreSQL, REST API 등)
GUI 프로그래밍 기초 및 실습, 데스크탑 앱 개발(Turtle, Tkinter, Pomodoro GUI 애플리케이션 등)
Python을 활용한 데이터 크롤링(BeautifulSoup, Selenium 등)
Python을 활용한 업무 자동화(데이터 수집, 크롤링, 이메일 자동 발송 등)'
Python 개발 직무 포트폴리오 구축을 도울 100개의 실전 프로젝트
기타, Python을 활용해 개발할 수 있는 모든 것",한국어,https://www.udemy.com/course/best-100-days-python/
programming-languages,React JS,"【한글자막】 React 완벽 가이드 with Redux, Next.js, TypeScript",초급자,"₩17,000","₩88,000",48.5시간 주문형 동영상,"배울 내용
리액티브 웹 앱의 성능을 향상시키는 법
JavaScript의 장점을 극대화하는 React 개발방법론
React 심화 개념(useCallback, useMemo, useReducer etc)
React hooks, 상태 관리(Redux, Context API), Next js, TypeScript
네트워크, SPA, TDD
프론트엔드 웹 개발 실무를 경험하기 위한 프로젝트 학습",한국어,https://www.udemy.com/course/best-react/
programming-languages,Java Algorithms,【한글자막】 JavaScript 알고리즘 & 자료구조 마스터클래스,모든 수준,"₩17,000","₩88,000",21.5시간 주문형 동영상,"배울 내용
Big O 표기법을 기반으로한 알고리즘 성능 평가법
재귀(Recursion)
정렬알고리즘(버블, 선택, 삽입, 병합, 퀵, 지수, 검색 등)
자료구조(리스트, 스택, 힙, 트리, 그래프, dijkstra 등)
무에서부터 10개 이상의 자료구조를 직접 구현
까다로운 기술 면접을 통과하는데 필요한 모든 것",한국어,https://www.udemy.com/course/best-javascript-data-structures/
programming-languages,C++ (programming language),C++ 언매니지드 프로그래밍,중급자,"₩219,000",,25.5시간 주문형 동영상,"배울 내용
C++ 언어 사용법
올바른 프로그래밍 습관
C++ 언어가 내부적으로 어떻게 도는지에 대한 이해",한국어,https://www.udemy.com/course/cpp-unmanaged-programming-by-pocu/
programming-languages,JavaScript,【한글자막】 JavaScript 완벽 가이드 : 초급 + 고급 마스터 과정,모든 수준,"₩17,000","₩88,000",50.5시간 주문형 동영상,"배울 내용
처음부터 시작하는 JavaScript - 초급부터 고급까지
최신 JavaScript 개발에서 알아야 할 모든 핵심 기능과 개념
JavaScript 전문가가 되고 JavaScript 관련 직무에 지원하는 데 필요한 모든 것
많은 예제를 통한 프로젝트 주도 학습
변수, 함수, 객체와 배열에 관한 모든 것
객체 지향 프로그래밍
프로토타입, JavaScript 엔진 & 내부에서 작동하는 방식에 대한 자세한 설명
JavaScript로 웹 페이지(= DOM) 조작하기
이벤트 처리, 비동기 코딩과 Http 요청
메타 프로그래밍, 성능 최적화, 메모리 누수 방지
테스트, 보안과 배포
그 외 더 많은 것들!
더 보기",한국어,https://www.udemy.com/course/javascript-zw/
programming-languages,Java,【한글자막】 완전 초보자를 위한 Java 프로그래밍 : 단기간에 Java 완벽 정복,초급자,"₩17,000","₩88,000",33.5시간 주문형 동영상,"배울 내용
연습문제와 퍼즐을 통한 실습과제: 자바로 객체 지향 프로그래밍 배우기
자바에 대한 궁금증 해소: 자바 프로그래밍 능력의 전문성을 키우기 위한 학습
자바 컬렉션 - List 인터페이스(ArrayList, LinkedList, Vector), Set 인터페이스(HashSet, LinkedHashSet, TreeSet), Queue 인터페이스(PriorityQueue), Map 인터페이스- 비교, 다른점, 선택
자바 Array, ArrayList - 자바 String Array, 객체 Array, 기본 자료형, toString과 예외 처리",한국어,https://www.udemy.com/course/best-java-programming/
programming-languages,Keras,Keras 를 활용한 Deep Learning 입문,모든 수준,"₩22,000","₩99,000",9.5시간 주문형 동영상,"배울 내용
딥러닝 알고리즘의 직관적인 이해
다양한 데이터를 활용하여 딥러닝 모델을 설계 하는 방법",한국어,https://www.udemy.com/course/keras-deep-learning/
programming-languages,English Language,개발자영어,초급자,"₩17,000","₩79,000",10.5시간 주문형 동영상,"배울 내용
효율적인 영어 독해 방법을 배우게 됩니다.
프로그래밍 과정에서 영어로 이름 짓는 방법과 주석/커밋/오류 메시지를 제대로 만드는 방법을 배우게 됩니다.
검색 엔진을 활용하고 문제 해결을 위한 효과적인 검색 방법을 배우게 됩니다.
좋은 질문과 좋은 대답의 특성을 확인하고 실제 공동체를 활용하는 방법을 배우게 됩니다.",한국어,https://www.udemy.com/course/devenglish/
programming-languages,OpenCV,OpenCV + Webapp,모든 수준,"₩27,000",,1시간 주문형 동영상,"배울 내용
You can handle image on the web using opencv and we will use python and django for webapp.",한국어,https://www.udemy.com/course/opencv-webapp/
programming-languages,Pandas,【한글자막】 Pandas 완전 정복 부트캠프 : Python Data Science,모든 수준,"₩17,000","₩88,000",33.5시간 주문형 동영상,"배울 내용
데이터 처리 및 데이터 분석 기술을 놀라운 수준으로 향상
실제 데이터셋을 사용하여 모든 관련 Pandas 기법 및 워크플로 학습 및 실습
최신 버전 1.x 기반 Pandas 학습(버전 0.x의 시대는 끝났습니다)
지저분한 데이터 임포트, 정제, 병합 및 머신 러닝용 데이터 준비
Pandas, 사이킷런, 씨본을 사용한 머신 러닝 프로젝트 완벽 마스터
Pandas, 맷플롯립, 씨본를 통한 데이터 분석, 시각화, 이해
퀴즈와 150개 이상의 연습 과제, 종합 프로젝트를 통한 Pandas 기술 연습 및 마스터
인터넷에서 임포트한 금융/주식 데이터를 Pandas를 사용하여 분석
금융 데이터 분석에 있어 가장 중요한 Pandas 워크플로 학습 및 마스터
기존 버전 0.x에서 최신 버전 1.x로 전환하는 가장 좋은 메소드 학습
더 보기",한국어,https://www.udemy.com/course/pandas-2022/
